serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DAASUGWDB,2017,12,28,FA0164018,CAMY'S GRILL,90010,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0127486,HUMBERTO CASTELLANOS
DAIKIC6SX,2017,12,28,FA0242973,SABORES DEL PERU,90015-2392,82,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0238493,CESAR C MALPARTIDA
DAKGAPBU1,2017,12,28,FA0036598,M CAFE DE CHAYA,90046,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0011381,EUGENE AND ASSOCIATES INC.
DAVC3OO1J,2017,12,28,FA0230665,INDIA'S GRILL,90048,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0234775,"LUCKYRICKY,INC."
DAO9O7VBX,2017,12,28,FA0065185,LA INDIA BONITA CAFE,90023,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0012004,"FLORES, MARIA GUADALUPE"
DA9YVUZ60,2017,12,28,FA0166559,NORM'S RESTAURANT,90048,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0129683,"NORM'S RESTAURANTS, LLC."
DAOUG11X0,2017,12,28,FA0058308,BEVERLY FALAFEL,90048,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0004590,"BEVERLY FALAFEL, INC"
DA2MRT8MI,2017,12,28,FA0252457,KRISPY KRUNCHY CHICKEN - ALVARADO,90057-3344,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0246225,LI'S KKC CHICKEN INC
DAVIRWF5P,2017,12,28,FA0163437,CAFE 153,90015,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0127044,JAMIE JIYOUNG BAE
DAX7QPPKQ,2017,12,28,FA0019964,DUNES RESTAURANT,90028,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0023801,MAVOPIAN JOHN
DA85ZLP32,2017,12,28,FA0165629,THE FOUNDATION CENTER,90047,97,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0128872,"NOAH'S DWELLING, LLC"
DACQPGHLW,2017,12,28,FA0042611,ONO HAWAIIAN BBQ,90028,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0015833,"HOLLYWOOD SUNSET, LLC"
DA3E0YERS,2017,12,28,FA0248892,MUSH BAKERY,90027,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0243234,NANUSH AGADZHANYAN
DAYG9SAQH,2017,12,28,FA0166043,REGGIE'S DELI & CAFE,90026,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0129254,REGGIE KEVIN & OSCAR INC
DAZIW9OU9,2017,12,28,FA0143611,HOT THAI RESTAURANT,90048,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0106678,HOT THAI RUBSUB LLC
DA8W0B9VW,2017,12,27,FA0249175,WABA GRILL,90046,100,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0243472,MICHAEL & DANIEL INC
DA0WXZ80O,2017,12,27,FA0036871,THANK YOU FOR COMING,90039,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0035408,THANK YOU FOR COMING LLC
DALANTBWL,2017,12,27,FA0053217,TROPICAL FRUITS & JUICES,90042,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0015512,HIGHLAND PARK FLORIST INC
DAQKIE2OT,2017,12,27,FA0034746,SUBWAY -52105,90012,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0005591,C G INVESTMENTS INC
DAPTX4MXG,2017,12,27,FA0028990,IHOP,90028,98,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0015847,HOLLYWOOD FIVE INC
DA0OD6RH9,2017,12,27,FA0003285,ALEX FISH MARKET,90062,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0020175,"KWON,UNG"
DA3IYZ70S,2017,12,27,FA0203910,PANDA EXPRESS #2596,90035,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0027458,PANDA EXPRESS INC.
DA5T0DM3D,2017,12,28,FA0026036,GOLDEN INDIAN GRILL,90035,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0033072,"SINGH, NIHAL"
DALQKIH4V,2017,12,27,FA0176894,LA MONARCA BAKERY,90042,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0182888,"LA MONARCA BAKERY VI, LLC"
DA5TTIEPJ,2017,12,27,FA0160031,LAXSUL COMPANY,90045,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0125018,"LAXSUL COMPANY, LLC"
DAVQHNHE3,2017,12,27,FA0241469,THE COUNTER SPACE 7C,90045,84,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DA70579UR,2017,12,27,FA0226175,KALBIS KOREAN GRILL,90064,86,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0230347,JM BROTHERES INC
DAL31XKHE,2017,12,27,FA0037998,TOGO'S,90071,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0031766,SANTOS FERNANDO
DAU1Z2DBP,2017,12,27,FA0057109,AFC SUSHI AT WALGREENS #1527,90028,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0001761,ADVANCED FRESH CONCEPTS FRANCHISE CORP
DAWL6GKSY,2017,12,27,FA0155867,JACKY'S RESTAURANT,90013-1902,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0121139,"COSIO, LIZET VIOLETA S"
DADNBD7MO,2017,12,27,FA0012521,CALIFORNIA MEXICAN GRILL,90064,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0005900,"CAMACHO, OSCAR FLORES"
DAQVYUGFR,2017,12,27,FA0019287,DOLCINI CAFFEE EXPRESSO,90017,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0016734,HYANG RIM PARK
DAIPOR9KZ,2017,12,27,FA0174581,PRIME GRIND COFFEE,90012,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0181225,HYMAN YOUN BAK
DA5K0JIUB,2017,12,27,FA0138099,ETCHEA,90012,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0101504,HOPE ST. BAKERY PARTNERS LLC
DAEAWMFCU,2017,12,27,FA0069287,RALPHS MARKET #206,90027,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0029458,RALPHS GROCERY COMPANY
DA7VM3CF5,2017,12,27,FA0241574,LOTERIA GRILL SPACE 7C,90045,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DAO3AYXGX,2017,12,27,FA0029647,HOY'S WOK,90046,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0017053,"IP, HUNG PAUL"
DAUODIBBF,2017,12,27,FA0241024,BASE COAT -JUICE BAR,90021,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0237019,"BASE COAT CALIFORNIA, LLC."
DASFQOW9O,2017,12,27,FA0180581,WAX PAPER,90039,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0185937,"WAX PAPER, LLC"
DAWQCHLRE,2017,12,27,FA0046199,RENAISSANCE 96TH STREET BISTRO,90045,95,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0039321,WSRH LAX AIRPORT LLC
DAXR0CIY0,2017,12,27,FA0032292,KIKKA @ ARCO PLAZA,90071,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0017151,"ITO, INC."
DAEYW9LN0,2017,12,27,FA0241558,ROLLING STONE SPACE 7C,90045,80,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DAPR3VX0X,2017,12,27,FA0018277,J & F ICE CREAM SHOP,90033,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0037843,"VILLA ORTEGA, JOSE ISABEL"
DAADMT6C3,2017,12,27,FA0061048,DONUT FACTORY,90065,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0016254,HONG LINA LIM
DAN2EFM01,2017,12,27,FA0064431,JOHNNIE'S NEW YORK PIZZA,90070,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0009143,"CSI RESTAURANT GROUP, INC."
DAQ0ZOO9P,2017,12,27,FA0141687,EAGLE ROCK BREWERY,90065-2214,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0104831,"EAGLE ROCK BREWERY, LLC"
DAVXAZ9QO,2017,12,27,FA0224982,DONUT STAR,90065,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0229447,LCCS CORP
DATBNJ9H0,2017,12,27,FA0046232,ROSE GARDEN CAFE,90028,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0008097,CHURCH OF SCIENTOLOGY CELEBR
DA9GQ6FT4,2017,12,27,FA0040720,MRS FIELD'S COOKI #426,90071,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0011678,FATIMAH SAFARI
DAONHOPY1,2017,12,27,FA0064650,SHIN KANG SEO MYUN OAK,90006,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0099674,"KIM, YOUNG YUN"
DARQKZYXV,2017,12,27,FA0038653,MCDONALD'S #2084,90065,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0023946,MCDONALD'S CORPORATION
DAL6VKQPQ,2017,12,27,FA0155781,PLANCHA TACOS,90291,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0121068,VENICE TACOS LLC
DAL0RLTKH,2017,12,27,FA0241303,BLD,90045,83,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DAQ6YAEBS,2017,12,27,FA0165259,NOODLE PLUS,90006,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0128534,SU YOUNG KIM
DAZCEUYYC,2017,12,27,FA0046199,RENAISSANCE 96TH STREET BISTRO,90045,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0039321,WSRH LAX AIRPORT LLC
DAVZ1HARD,2017,12,27,FA0053903,VNS CHICKEN,90006,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012654,"GALLERIA MARKET, LP"
DAKOO00RB,2017,12,27,FA0013904,CELESTE,90017,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0007938,CHSP TRS LOS ANGELES LLC
DAAIO9DRR,2017,12,27,FA0222456,800  DEGREES NEAPOLITAN PIZZERIA,90028,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0227297,"800 DEGREES HOLLYWOOD CA, LLC"
DAANT7LPA,2017,12,27,FA0222104,CHOCOLATE BAR,90028,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0227013,"CHOCOLATE BA, LLC"
DA0XMWDBL,2017,12,27,FA0137309,KETTLE GLAZED DONUTS,90068,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0100180,"KETTLE GLAZED DONUTS, INC."
DAW00W6FQ,2017,12,27,FA0035550,LOCALI,90028,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0016355,HOROS LLC.
DASC8JWRO,2017,12,27,FA0225852,MS DONUTS,90026,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0230070,SOPHANY TY
DAEOVTKME,2017,12,27,FA0049818,SUBWAY #39685,90012,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0005591,C G INVESTMENTS INC
DACY5I35D,2017,12,27,FA0065656,LEMONADE RESTAURANT,90071,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0036346,TPG PLAZA INVESTMENTS LLC
DACKAPPHG,2017,12,27,FA0143756,KOREAN AIR/ SKYTEAM LOUNGE,90045,91,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0106807,"KOREAN AIR LINES CO , LTD"
DAWDMXPYU,2017,12,27,FA0021153,LA SIRENA RESTAURANT,90023,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005655,"CABRALES,MARIA"
DA2PCIPPJ,2017,12,27,FA0018440,JACK IN THE BOX # 335,90031,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0025809,"NEMATZADEH ENTERPRISES, INC."
DA07S13CE,2017,12,27,FA0023453,FOOD PICNIC DAY,90006,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0018416,"KANG, YOUNG JUN"
DAB0VA0EQ,2017,12,27,FA0242571,BOLT,90028,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0238035,BOLT BROTHERS LLC
DA3WOVRWC,2017,12,27,FA0031779,JIN RESTAURANT,90006,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0019356,"KIM, KANG"
DACAHD6VE,2017,12,27,FA0046199,RENAISSANCE 96TH STREET BISTRO,90045,99,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0039321,WSRH LAX AIRPORT LLC
DA3YEDXW2,2017,12,27,FA0171723,CANTINA LOREDO,90045,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0178784,CONCESSIONS MANAGEMENT LS
DAE0KACM0,2017,12,26,FA0043168,QANTAS AIRWAYS LOUNGE,90041,86,B,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0029178,QANTAS AIRWAYS LIMITED
DATGFWJZQ,2017,12,26,FA0065927,LOS BALCONES DEL PERU,90028,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0031448,SAN CARLOS ENTERPRISES INC
DAJDHLZX2,2017,12,26,FA0050846,TACOMIENDO,90034,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0010054,"DIEGO, ISMAEL"
DA2UUDWGW,2017,12,26,FA0043168,QANTAS AIRWAYS LOUNGE,90041,92,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0029178,QANTAS AIRWAYS LIMITED
DA1STQ8WE,2017,12,26,FA0180582,THE SEMI-TROPIC,90026,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0185938,OLD PAL GROUP LLC
DAI2IWYYV,2017,12,26,FA0243565,CIRCLE K,90023-3724,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",MODERATE RISK,OW0238848,MARKET AVENUE INC.
DA0XJ7MOO,2017,12,26,FA0174545,SLAPFISH,90045,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0181193,SOCAL CONCESSIONS LLC
DAAZ8Q8ID,2017,12,26,FA0013900,CELAYA BAKERY,90026,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0006576,CAUDILLO PATRICIA
DADSSJT25,2017,12,27,FA0064681,K-BAKERY,90026,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0026939,ORTEGA TRINIDAD
DA0II8LOZ,2017,12,26,FA0065969,LOS PINITOS NUEVOS BAKERY,90023,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0017660,"JIMENEZ, VEDA"
DAFJLLWBW,2017,12,26,FA0252768,JAPAN HOUSE LA 2ND FLOOR,90028,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0246460,WLC INTERNATIONAL INC
DAQ4FAE0F,2017,12,26,FA0241451,SHAKE SHACK,90028,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0236969,SHAKE SHACK CALIFORNIA LLC
DAZ4XQWSB,2017,12,26,FA0019073,JOHNNY ROCKETS,90028,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0009049,CRISTACT FARMERS MARKET INC
DACU9OTQK,2017,12,26,FA0178934,CIVIL COFFEE,90042,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0184579,"CIVCO HP, LLC"
DAE886X1B,2017,12,26,FA0038675,MCDONALD'S # 10129,90033,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0031567,R & B SANCHEZ DBA MCDONALD'S
DASFHCD0I,2017,12,26,FA0180023,BARNEY'S BEANERY,90045,81,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0181193,SOCAL CONCESSIONS LLC
DALNOZPBI,2017,12,26,FA0167174,GREENLEAF CHOP SHOP,90028,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0130242,"GGC HOLLYWOOD, LLC"
DAUKZLWUV,2017,12,26,FA0074402,ZANKOU CHICKEN,90046,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0040153,"ZANKOU WEST HOLLYWOOD, INC."
DASDJW7Z9,2017,12,26,FA0004930,ADMIRALS CLUB,90045,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0125020,"AMERICAN AIRLINES, INC."
DAQX30RFM,2017,12,26,FA0179215,JINYA RAMEN EXPRESS,90028,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0184807,BEZEL AMERICA INC.
DAFJS0G2R,2017,12,26,FA0064351,JIM'S BURGERS,90023,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0036554,TRIPOLIS BURGERS INC
DA1021649,2017,12,26,FA0245493,CVS/PHARMACY #10614,90017,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012926,"GARFIELD BEACH CVS, LLC."
DAQ6X5DOD,2017,12,26,FA0160033,AA REGIONAL ADMIRAL'S CLUB,90045,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0125020,"AMERICAN AIRLINES, INC."
DAQMQMDOR,2017,12,26,FA0004930,ADMIRALS CLUB,90045,99,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0125020,"AMERICAN AIRLINES, INC."
DA3FL4FGC,2017,12,26,FA0139076,L.A.A.C.-8TH FLOOR SNACK BAR,90014,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0102336,THE L.A.A.C CORP
DAWSZT5MN,2017,12,26,FA0018505,DER WIENERSCHNITZEL #20,90042,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0024670,"MIZUSHIMA, TINA H"
DA2ZPWIKH,2017,12,26,FA0225967,STREET LEVEL CAFE,90026,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0230168,JULIO CEASAR DOUGLAS
DAZ0OFEWB,2017,12,26,FA0242414,CAFE SOLAR,90045,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0238034,ORB TERTIUS LLC
DABMTCUH8,2017,12,26,FA0223006,DELICIAS BAKERY AND SOME,90042,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0227763,EMILY SANCHEZ
DAAQMSBLV,2017,12,26,FA0073023,TUTTI FRUTTI,90015,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0020739,LAPRIDA INC
DAZOTXKEC,2017,12,26,FA0163620,MELODY PIZZA,90045,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0127216,MELODY PIZZA LLC
DAK9BVPJO,2017,12,26,FA0071195,SUBWAY #14183,90014,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0005591,C G INVESTMENTS INC
DAHZT1JRK,2017,12,26,FA0064142,JACK IN THE BOX # 3348,90026,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0034376,SUNRISE FOODS LLC
DABNP8TKT,2017,12,26,FA0252653,AFTERS ICE CREAM,90042-4201,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0227003,BEFORES LLC
DAJTJIV7A,2017,12,26,FA0057563,ANTIGUA CULTURAL COFFEE,90041,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0029268,QUINONES BERNICE
DA3CV3BVC,2017,12,26,FA0053092,TRASTEVERE RESTAURANT,90028,93,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0030637,ROMANA HOLLYWOOD LLC
DAS00YN0T,2017,12,26,FA0038624,MARIE'S COFFEE AND DELI,90017,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0020638,LAM HAO
DAW0RNBF6,2017,12,26,FA0065030,LA BARBACHA,90033,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0031529,"SANCHEZ-DICHI, HUGO"
